input_id	comparison_id	input_category	tool_a	tool_b	top_10_jaccard	top_25_jaccard	fdr05_overlap_jaccard	fdr01_overlap_jaccard	spearman_full_rank	pearson_neglog10padj	direction_agreement
census_scrna__c7775e88_wilcoxon	c7775e88	census_scrna	fgsea	clusterProfiler_ORA	0.05263157894736842	0.47058823529411764	0.0	0.0	0.28390199594025534	-0.012309570849533472	0.44
census_scrna__c7775e88_wilcoxon	c7775e88	census_scrna	gseapy_enrichr	clusterProfiler_ORA	0.42857142857142855	0.7241379310344828			0.9026747199295526	0.9787687178521447	0.88
census_scrna__d3cb449b_wilcoxon	d3cb449b	census_scrna	fgsea	gseapy_enrichr	0.17647058823529413	0.28205128205128205	0.0		-0.026656086276741903	-0.039381611217261435	0.66
census_scrna__d3cb449b_wilcoxon	d3cb449b	census_scrna	fgsea	clusterProfiler_ORA	0.1111111111111111	0.28205128205128205	0.0		0.008950335323137267	-0.011520222975204674	0.58
census_scrna__d3cb449b_wilcoxon	d3cb449b	census_scrna	gseapy_enrichr	clusterProfiler_ORA	0.8181818181818182	1.0	1.0		0.9595415308439998	0.9732650253618537	0.92
census_scrna__d9f3a82c_pseudobulk	d9f3a82c	census_scrna	fgsea	gseapy_enrichr	0.42857142857142855	0.5151515151515151	0.4166666666666667	0.22727272727272727	0.5553286114815672	0.7673022429885684	0.88
census_scrna__d9f3a82c_pseudobulk	d9f3a82c	census_scrna	fgsea	clusterProfiler_ORA	0.3333333333333333	0.5151515151515151	0.13043478260869565	0.16666666666666666	0.4484138445688784	0.7339108080238717	0.64
census_scrna__d9f3a82c_pseudobulk	d9f3a82c	census_scrna	gseapy_enrichr	clusterProfiler_ORA	0.8181818181818182	0.7857142857142857	0.2727272727272727	0.3333333333333333	0.9530839342544548	0.9711942132387594	0.68
census_scrna__d9f3a82c_wilcoxon	d9f3a82c	census_scrna	fgsea	gseapy_enrichr	0.17647058823529413	0.3888888888888889	0.13043478260869565	0.07692307692307693	0.37595138313063897	0.33536514463135386	0.8
census_scrna__d9f3a82c_wilcoxon	d9f3a82c	census_scrna	fgsea	clusterProfiler_ORA	0.17647058823529413	0.3888888888888889	0.09090909090909091	0.0	0.3396809150347855	0.23778544048206593	0.6
census_scrna__d9f3a82c_wilcoxon	d9f3a82c	census_scrna	gseapy_enrichr	clusterProfiler_ORA	0.8181818181818182	0.8518518518518519	0.36363636363636365	0.3076923076923077	0.950711700655723	0.9620575935919389	0.8
census_scrna__ebc2e1ff_wilcoxon	ebc2e1ff	census_scrna	fgsea	gseapy_enrichr	0.25	0.6129032258064516	0.375	0.25	0.5036115173374203	0.4789387657748794	0.8
census_scrna__ebc2e1ff_wilcoxon	ebc2e1ff	census_scrna	fgsea	clusterProfiler_ORA	0.25	0.5151515151515151	0.3125	0.3333333333333333	0.48324824960280527	0.5074287039172222	0.66
census_scrna__ebc2e1ff_wilcoxon	ebc2e1ff	census_scrna	gseapy_enrichr	clusterProfiler_ORA	0.6666666666666666	0.7857142857142857	0.45454545454545453	0.3157894736842105	0.9600542519829871	0.9727876370976696	0.7
census_scrna__f14bc322_wilcoxon	f14bc322	census_scrna	fgsea	gseapy_enrichr	0.05263157894736842	0.47058823529411764	0.20833333333333334	0.10526315789473684	0.3264815694919836	0.18823874853249695	0.68
census_scrna__f14bc322_wilcoxon	f14bc322	census_scrna	fgsea	clusterProfiler_ORA	0.05263157894736842	0.42857142857142855	0.1	0.0	0.2405207872424678	0.06410779510758188	0.7
census_scrna__f14bc322_wilcoxon	f14bc322	census_scrna	gseapy_enrichr	clusterProfiler_ORA	0.8181818181818182	0.8518518518518519	0.18181818181818182	0.0	0.9319260989095238	0.9410655758023306	0.74
gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum	gtex_tissue_pair	fgsea	gseapy_enrichr	0.42857142857142855	0.5625	0.16666666666666666	0.2	0.5789486433094382	0.7970531971557879	0.48
