input_id	input_category	database	n_pathways_returned	n_sig_padj_05	n_sig_padj_01	frac_sig_padj_05	median_abs_NES_sig
tcga_cancer__STAD_limma	tcga_cancer	c2_kegg	186	66	47	0.3548	1.80323096581602
tcga_cancer__STAD_limma	tcga_cancer	c2_reactome	1782	396	235	0.2222	1.785523692761585
tcga_cancer__STAD_limma	tcga_cancer	c2_wikipathways	922	170	75	0.1844	1.7628112387918349
tcga_cancer__STAD_limma	tcga_cancer	c5_go_bp	7072	915	537	0.1294	1.76794523383949
tcga_cancer__THCA_DESeq2	tcga_cancer	hallmark	50	13	9	0.26	1.61062438861575
tcga_cancer__THCA_DESeq2	tcga_cancer	c2_kegg	186	14	2	0.0753	1.636724654864895
tcga_cancer__THCA_DESeq2	tcga_cancer	c2_reactome	1759	20	9	0.0114	1.72384142787758
tcga_cancer__THCA_DESeq2	tcga_cancer	c2_wikipathways	905	15	4	0.0166	1.65408470003028
tcga_cancer__THCA_DESeq2	tcga_cancer	c5_go_bp	6871	106	44	0.0154	1.602824129411915
tcga_cancer__THCA_edgeR	tcga_cancer	hallmark	50	17	10	0.34	1.57861256028789
tcga_cancer__THCA_edgeR	tcga_cancer	c2_kegg	186	28	5	0.1505	1.6292649742752352
tcga_cancer__THCA_edgeR	tcga_cancer	c2_reactome	1759	45	15	0.0256	1.72072534694962
tcga_cancer__THCA_edgeR	tcga_cancer	c2_wikipathways	905	31	12	0.0343	1.65948550930884
tcga_cancer__THCA_edgeR	tcga_cancer	c5_go_bp	6871	179	78	0.0261	1.61510101565839
tcga_cancer__THCA_limma	tcga_cancer	hallmark	50	31	22	0.62	1.58902893738254
tcga_cancer__THCA_limma	tcga_cancer	c2_kegg	186	33	12	0.1774	1.67525218592391
tcga_cancer__THCA_limma	tcga_cancer	c2_reactome	1759	135	47	0.0767	1.69241400680467
tcga_cancer__THCA_limma	tcga_cancer	c2_wikipathways	905	48	24	0.053	1.723017956020275
tcga_cancer__THCA_limma	tcga_cancer	c5_go_bp	6871	261	119	0.038	1.64153261361943
tcga_cancer__UCEC_DESeq2	tcga_cancer	hallmark	50	25	21	0.5	1.81428611774233
tcga_cancer__UCEC_DESeq2	tcga_cancer	c2_kegg	186	41	27	0.2204	1.75840197631947
tcga_cancer__UCEC_DESeq2	tcga_cancer	c2_reactome	1787	455	339	0.2546	1.82403788675743
tcga_cancer__UCEC_DESeq2	tcga_cancer	c2_wikipathways	914	113	56	0.1236	1.73881998929715
tcga_cancer__UCEC_DESeq2	tcga_cancer	c5_go_bp	7036	604	339	0.0858	1.717606723616825
tcga_cancer__UCEC_edgeR	tcga_cancer	hallmark	50	24	20	0.48	1.7992441735369549
tcga_cancer__UCEC_edgeR	tcga_cancer	c2_kegg	186	43	29	0.2312	1.76766163073577
tcga_cancer__UCEC_edgeR	tcga_cancer	c2_reactome	1787	485	347	0.2714	1.83045925372176
tcga_cancer__UCEC_edgeR	tcga_cancer	c2_wikipathways	914	128	69	0.14	1.778778458695
tcga_cancer__UCEC_edgeR	tcga_cancer	c5_go_bp	7036	615	353	0.0874	1.75515296668297
