input_id	input_category	db_a	db_b	leading_edge_gene_jaccard_sig05	n_sig_pathway_names_shared	direction_concordance_on_shared	n_genes_unique_to_a	n_genes_unique_to_b	n_sig_genes_a	n_sig_genes_b
tcga_cancer__HNSC_limma	tcga_cancer	hallmark	c2_reactome	0.2568	0		531	1602	1268	2339
tcga_cancer__HNSC_limma	tcga_cancer	hallmark	c2_wikipathways	0.2618	0		691	936	1268	1513
tcga_cancer__HNSC_limma	tcga_cancer	hallmark	c5_go_bp	0.2301	0		355	2699	1268	3612
tcga_cancer__HNSC_limma	tcga_cancer	c2_kegg	c2_reactome	0.2932	0		219	1589	969	2339
tcga_cancer__HNSC_limma	tcga_cancer	c2_kegg	c2_wikipathways	0.3804	0		285	829	969	1513
tcga_cancer__HNSC_limma	tcga_cancer	c2_kegg	c5_go_bp	0.2282	0		118	2761	969	3612
tcga_cancer__HNSC_limma	tcga_cancer	c2_reactome	c2_wikipathways	0.3802	0		1278	452	2339	1513
tcga_cancer__HNSC_limma	tcga_cancer	c2_reactome	c5_go_bp	0.4196	0		580	1853	2339	3612
tcga_cancer__HNSC_limma	tcga_cancer	c2_wikipathways	c5_go_bp	0.3128	0		292	2391	1513	3612
tcga_cancer__KICH_DESeq2	tcga_cancer	hallmark	c2_kegg	0.1399	0		537	262	667	392
tcga_cancer__KICH_DESeq2	tcga_cancer	hallmark	c2_reactome	0.1677	0		383	1027	667	1311
tcga_cancer__KICH_DESeq2	tcga_cancer	hallmark	c2_wikipathways	0.1451	0		497	505	667	675
tcga_cancer__KICH_DESeq2	tcga_cancer	hallmark	c5_go_bp	0.141	0		287	2028	667	2408
tcga_cancer__KICH_DESeq2	tcga_cancer	c2_kegg	c2_reactome	0.1777	0		135	1054	392	1311
tcga_cancer__KICH_DESeq2	tcga_cancer	c2_kegg	c2_wikipathways	0.1816	0		228	511	392	675
tcga_cancer__KICH_DESeq2	tcga_cancer	c2_kegg	c5_go_bp	0.1169	0		99	2115	392	2408
tcga_cancer__KICH_DESeq2	tcga_cancer	c2_reactome	c2_wikipathways	0.1885	0		996	360	1311	675
tcga_cancer__KICH_DESeq2	tcga_cancer	c2_reactome	c5_go_bp	0.3022	0		448	1545	1311	2408
tcga_cancer__KICH_DESeq2	tcga_cancer	c2_wikipathways	c5_go_bp	0.1931	0		176	1909	675	2408
tcga_cancer__KICH_edgeR	tcga_cancer	hallmark	c2_kegg	0.1484	0		693	489	899	695
tcga_cancer__KICH_edgeR	tcga_cancer	hallmark	c2_reactome	0.1932	0		397	1699	899	2201
