cell	mad3_outlier	mad5_outlier
64018671	TRUE	TRUE
64018677	FALSE	FALSE
64018678	TRUE	FALSE
64018686	FALSE	FALSE
64018705	TRUE	TRUE
64018709	FALSE	FALSE
64018710	FALSE	FALSE
64018719	FALSE	FALSE
64018730	TRUE	TRUE
64018736	TRUE	TRUE
64018741	TRUE	FALSE
64018745	TRUE	TRUE
64018760	TRUE	FALSE
64018768	FALSE	FALSE
64018771	FALSE	FALSE
64018773	TRUE	TRUE
64018780	FALSE	FALSE
64018781	FALSE	FALSE
64018790	TRUE	TRUE
64018797	FALSE	FALSE
64018824	FALSE	FALSE
64018832	TRUE	TRUE
64018835	FALSE	FALSE
64018837	FALSE	FALSE
64018842	FALSE	FALSE
64018846	FALSE	FALSE
64018856	TRUE	TRUE
64018861	FALSE	FALSE
64018862	FALSE	FALSE
64018877	FALSE	FALSE
64018892	FALSE	FALSE
64018906	TRUE	TRUE
64018908	FALSE	FALSE
64018913	TRUE	TRUE
64018917	FALSE	FALSE
64018918	FALSE	FALSE
64018927	FALSE	FALSE
64018929	FALSE	FALSE
64018932	FALSE	FALSE
64018933	TRUE	TRUE
