cell	n_genes_by_counts	total_counts	pct_counts_mt
105625097	1299	4716.0	1.9720101
105625161	1385	5257.0	2.8723607
105625223	1171	3687.0	2.522376
105625416	1247	6228.0	1.2524085
105625429	1285	5355.0	1.7740431
105625446	1187	3406.0	0.41103935
105625447	1166	4267.0	1.8982893
105625452	1106	4588.0	3.2258062
105625555	1708	5847.0	0.9919617
105625580	1277	4030.0	3.548387
105625627	1557	5745.0	3.6727588
105625660	1291	4923.0	2.539102
105625694	1086	4073.0	3.6582372
105625706	1735	7433.0	3.7669852
105625733	997	3739.0	2.1128643
105625769	1231	4835.0	1.9234747
105625807	1089	3733.0	1.4733458
105625810	966	3376.0	1.5402843
105626007	1312	4451.0	2.7858908
105626091	946	2541.0	3.2664306
105626117	1502	7383.0	3.7112284
105626119	1316	5346.0	2.637486
105626165	1689	6116.0	3.0248528
105626276	1458	5381.0	2.7690022
105626292	1397	4739.0	2.5532813
105626314	2175	7275.0	1.484536
105626337	1540	5354.0	1.9611505
105626443	1728	5960.0	4.681208
105626567	1495	5412.0	6.1160383
105626579	2187	7302.0	4.902766
105626692	1700	5331.0	2.4948413
105626710	1972	6484.0	4.780999
105626771	3551	14645.0	3.0385797
105626823	1877	5994.0	4.020687
105626827	1586	6069.0	3.9050915
105626915	1460	4407.0	4.2659407
105626935	1701	5531.0	3.543663
105626937	1716	5342.0	3.219768
105626956	1625	5775.0	4.813853
105626957	1349	4119.0	5.0012136
105627062	1296	4011.0	5.1109447
105627325	2421	8042.0	2.9718974
105627326	2849	10100.0	2.5346534
105627332	2997	10412.0	2.2666154
105627493	1386	3740.0	2.9679143
105627536	1260	3137.0	5.992987
105627540	1363	4206.0	3.2572515
105627575	2653	8697.0	3.8289065
105627597	1693	4541.0	3.0609996
105627776	1443	4019.0	2.6125903
105627982	2288	6909.0	7.7001014
105627987	2714	8640.0	3.3333335
105628032	2518	7728.0	3.6361284
105628059	2398	8597.0	3.3500056
105628075	2638	9581.0	3.8200605
105628108	2006	6652.0	4.720385
105628160	2431	10699.0	3.551734
105628199	2651	9794.0	3.6552992
105628266	1912	4334.0	2.6303644
105628294	1712	3954.0	3.2372282
105628340	2196	5347.0	2.6182907
105628354	1801	3991.0	3.0067654
105628356	1567	3494.0	3.5203207
105628419	1558	3612.0	2.297896
105628446	1631	3877.0	4.462213
105628492	1472	3174.0	3.2136104
105628499	1713	3905.0	3.021767
105628752	1432	3098.0	4.454487
105628826	1660	3614.0	7.0835643
105628864	1761	4040.0	5.8663363
105628876	1816	4146.0	4.8962855
105628880	1756	4175.0	3.5688624
105628894	1709	3997.0	3.6277208
105628983	1864	4333.0	3.9464574
105628988	1592	3749.0	2.427314
105629032	1841	4417.0	3.509169
105629080	1495	3404.0	5.1116333
105629163	2428	6492.0	4.3746147
105629255	311	523.0	5.544933
105629326	611	1384.0	3.5404623
105629492	1555	4139.0	3.6240637
105629501	1813	5970.0	3.4505863
105629601	1720	5125.0	3.9609756
105629627	1488	3924.0	5.632008
105629631	1332	3316.0	3.5283473
105629714	2820	11283.0	1.4801028
