dataset_id	chemistry	species	tissue_class	tool_a	tool_b	n_common_genes	n_common_cells	rho_gene_total	rho_cell_total_umi	log2_median	log2_iqr	log2_p05	log2_p95	pct_A_higher	pct_B_higher	pct_tie	det_rate_A	det_rate_B	det_rate_A_intersect	det_rate_B_intersect
gse325955_mouse_kidney_E18_5	3p_v3	mouse	non-PBMC	star_default	star_cr_mimic	57180	2622710	0.9926911762201847	0.9491148750962659	0.0	0.0022151019729759244	-0.0324214776923775	0.5305147166987798	0.12131864288212661	0.28324589017138857	0.5954354669464847	0.6020461699895068	0.5971668415529906	0.6020461699895068	0.5971668415529906
gse325955_mouse_kidney_E18_5	3p_v3	mouse	non-PBMC	star_default	alevin_fry	57180	766123	0.7713744124051238	0.9583698369734428	1.0	4.005883844176874	0.0	8.124121311829187	0.5908359566281917	0.009793634137810424	0.3993704092339979	0.6020461699895068	0.4575376005596362	0.6020461699895068	0.3255334032878629
gse325955_mouse_kidney_E18_5	3p_v3	mouse	non-PBMC	star_default	kb_count	57180	2596404	0.9657442234993715	0.8984277711818144	0.0	0.0377056998289149	-1.0	0.23064855903966527	0.08709338929695698	0.4450682056663169	0.46783840503672613	0.6020461699895068	0.6238195173137461	0.6020461699895068	0.6238195173137461
gse325955_mouse_kidney_E18_5	3p_v3	mouse	non-PBMC	star_cr_mimic	alevin_fry	57180	766119	0.7766632605285562	0.9569659191179937	1.0	3.9068905956085187	0.0	8.02817701201175	0.5861490031479538	0.009391395592864638	0.4044596012591815	0.5971668415529906	0.4575376005596362	0.5971668415529906	0.3255334032878629
gse325955_mouse_kidney_E18_5	3p_v3	mouse	non-PBMC	star_cr_mimic	kb_count	57180	2595121	0.9662559795180692	0.9351706572613765	0.0	0.031343121614010656	-1.4672978609492469	0.09953567355091437	0.08380552640783491	0.4427597061909759	0.4734347674011892	0.5971668415529906	0.6238195173137461	0.5971668415529906	0.6238195173137461
gse325955_mouse_kidney_E18_5	3p_v3	mouse	non-PBMC	alevin_fry	kb_count	171540	764722	0.7723657765269567	0.9708580514556104	-1.524897170363841	4.152577794990372	-8.098032082960527	0.0	0.005036726128016789	0.6155299055613851	0.3794333683105981	0.4575376005596362	0.6238195173137461	0.3255334032878629	0.6238195173137461
gse288156_mouse_intestine_scrna	3p_v3	mouse	non-PBMC	star_default	star_cr_mimic	57180	3952679	0.9931144834766026	0.9756816670787472	0.0	0.024225298182929195	-0.16177708794172532	0.32192809488736235	0.09667715984610004	0.39233997901364115	0.5109828611402588	0.6643406785589366	0.6709513816019588	0.6643406785589366	0.6709513816019588
gse288156_mouse_intestine_scrna	3p_v3	mouse	non-PBMC	star_default	alevin_fry	57180	1849981	0.7643688485771719	0.9279710689024138	1.584962500721156	4.180161750480418	0.0	8.479780264029099	0.6474991255683805	0.014235746764603008	0.33826512766701644	0.6643406785589366	0.5069604756908009	0.6643406785589366	0.3567506121021336
gse288156_mouse_intestine_scrna	3p_v3	mouse	non-PBMC	star_default	kb_count	57180	3928080	0.9683201626307872	0.9574907222537405	0.0	0.050093898453230715	-1.5849625007211563	0.25728507477905943	0.09408884225253585	0.4910807974816369	0.4148303602658272	0.6643406785589366	0.6876530255334032	0.6643406785589366	0.6876530255334032
gse288156_mouse_intestine_scrna	3p_v3	mouse	non-PBMC	star_cr_mimic	alevin_fry	57180	1849989	0.7663418240768346	0.9252175892134991	1.584962500721156	4.169925001442312	0.0	8.417852514885897	0.6547918852745716	0.012801678908709339	0.33240643581671914	0.6709513816019588	0.5069604756908009	0.6709513816019588	0.3567506121021336
gse288156_mouse_intestine_scrna	3p_v3	mouse	non-PBMC	star_cr_mimic	kb_count	57180	3928183	0.9701990567223668	0.9740894833610291	0.0	0.017438682200397612	-1.5849625007211563	0.27563444261342734	0.23719832109129066	0.33975166142007696	0.4230500174886324	0.6709513816019588	0.6876530255334032	0.6709513816019588	0.6876530255334032
gse288156_mouse_intestine_scrna	3p_v3	mouse	non-PBMC	alevin_fry	kb_count	171540	1849723	0.766124884943998	0.9399957577979765	-1.8073549220576042	4.357552004618084	-8.569855608330949	0.0	0.006540748513466247	0.6763553690101434	0.3171038824763903	0.5069604756908009	0.6876530255334032	0.3567506121021336	0.6876530255334032
