dataset_id	tissue	organism	tool	cell_type	precision	recall	f1	n_cells
4a90bbba-df97-4a28-83ae-7386fe7d9167	exocrine gland	Homo sapiens	MarkerScore	Macrophages	0.9554455445544554	0.8008298755186722	0.871331828442438	241
4a90bbba-df97-4a28-83ae-7386fe7d9167	exocrine gland	Homo sapiens	MarkerScore	NK cells	0.0	0.0	0.0	0
4a90bbba-df97-4a28-83ae-7386fe7d9167	exocrine gland	Homo sapiens	MarkerScore	T cells	0.9970588235294118	0.6108108108108108	0.7575418994413408	555
a77176ec-96c8-4448-a3e7-b56940bdfab6	lymph node	Homo sapiens	MarkerScore	Endothelial	0.5354058721934369	0.8985507246376812	0.670995670995671	345
a77176ec-96c8-4448-a3e7-b56940bdfab6	lymph node	Homo sapiens	MarkerScore	Fibroblasts	0.0	0.0	0.0	0
a77176ec-96c8-4448-a3e7-b56940bdfab6	lymph node	Homo sapiens	MarkerScore	Macrophages	0.9902761571373007	0.8279674796747968	0.9018774353524619	3075
a77176ec-96c8-4448-a3e7-b56940bdfab6	lymph node	Homo sapiens	MarkerScore	NK cells	0.7723970944309927	0.9140401146131805	0.8372703412073491	349
a77176ec-96c8-4448-a3e7-b56940bdfab6	lymph node	Homo sapiens	MarkerScore	T cells	0.03409090909090909	0.3333333333333333	0.061855670103092786	9
e595c979-c2de-4dad-8c02-8334a8e56de6	hindlimb	Homo sapiens	MarkerScore	Endothelial	0.9973333333333333	0.7586206896551724	0.8617511520737328	493
e595c979-c2de-4dad-8c02-8334a8e56de6	hindlimb	Homo sapiens	MarkerScore	Fibroblasts	0.9653311189537056	1.0	0.9823597760642231	4650
e595c979-c2de-4dad-8c02-8334a8e56de6	hindlimb	Homo sapiens	MarkerScore	Macrophages	0.9981718464351006	0.9285714285714286	0.9621145374449339	588
e595c979-c2de-4dad-8c02-8334a8e56de6	hindlimb	Homo sapiens	MarkerScore	NK cells	0.9655172413793104	0.6829268292682927	0.8	41
e595c979-c2de-4dad-8c02-8334a8e56de6	hindlimb	Homo sapiens	MarkerScore	T cells	0.0	0.0	0.0	0
61af564d-e5ea-4d34-a0f3-2668a00db376	breast	Homo sapiens	MarkerScore	Endothelial	0.7116793778974129	0.9278611815168649	0.8055179417738659	5129
61af564d-e5ea-4d34-a0f3-2668a00db376	breast	Homo sapiens	MarkerScore	Fibroblasts	0.939146082120072	0.9274636510500808	0.9332683085426319	6190
61af564d-e5ea-4d34-a0f3-2668a00db376	breast	Homo sapiens	MarkerScore	Hepatocytes	0.0	0.0	0.0	0
61af564d-e5ea-4d34-a0f3-2668a00db376	breast	Homo sapiens	MarkerScore	Macrophages	0.7236492471213464	0.5254019292604502	0.6087928464977646	1555
61af564d-e5ea-4d34-a0f3-2668a00db376	breast	Homo sapiens	MarkerScore	NK cells	0.0	0.0	0.0	0
61af564d-e5ea-4d34-a0f3-2668a00db376	breast	Homo sapiens	MarkerScore	T cells	0.9714285714285714	0.192090395480226	0.32075471698113206	2124
